Organization,Address,Reviewer,Review Title,Review,Review Count,Helpful Count,Restaurant Count,Location,Rating Date,Rating
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,victoriajayne2011,Terrible service  average food,We visited this restaurant on a week night before a concert at allianz stadium. You would think an establishment in an entertainment district would be used to being busy before an event but the service was terrible. We waited an hour for our mains to arrive  chicken  salad  fish and chips. Food was... read more,18,8,9,Sydney  New South Wales,14 December 2015,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Carolina R,Worse in Sydney,Gawd awful.when we said hadn't booed there was a sneer as if it was aria. 15 to take a drink order. Cocktail was watered down.food was likewise poor  inedible steak and a salad that badly needed a dressing but this was also step too far.15 mins wait for the bill when the noise and draught got too much.manager disinterested in...   More,9,2,6,Sydney  New South Wales,17 December 2015,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Katiec8805,Terrible service  average food,We visited this restaurant on a week night before a concert at allianz stadium. You would think an establishment in an entertainment district would be used to being busy before an event but the service was terrible. We waited an hour for our mains to arrive  chicken  salad  fish and chips. Food was very average for the price and such...   More,73,26,29,Parramatta  Greater Sydney,14 December 2015,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Wyralla,Seriously slow,We are on an event night  so understandably it was busy. However we ordered garlic bread  a Fish n Chips  chicken salad and a grilled chicken. We waited over an hour. When the table who came in after us ordered   ate and left we questioned why it was taking so long. All we were told was that it was...   More,7,4,0,Sydney  Australia,12 December 2015,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Blancet C,Nice staff terrible steak,My friend and I ordered the scotch fillet   mine medium well and his medium rare. Mine was the worst steak I have ever had   I checked with my friend and his was not so good either. The others had atlantic salmon and said it was ok. Then ordered a capuccino and it arrived cold ! Not my favourite...   More,30,10,21,,27 November 2015,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Darcy P,Great food...Staff a bit bored.,I booked this restaurant before reading the trip advisor reviews  but decided to give it a try anyway. Its a nice restaurant welcoming and cosy. The tapas menu had a good range and our group of five all picked a course and we had a dips plate to share. The food was great  (the dips a little bland but I...   More,40,13,23,Sydney  Australia,4 September 2015,4
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,hamojen,Food was good  if only the staff were good,I have nothing negative to say about the food but i would recommend some new staff who are passionate and want to be there. Why have a staff member standing at the door to attract customers if they don't even say hello. Staff upstairs walked around but didnt clear the tables or ask if anything was needed. Staff were abrupt ...   More,1,0,0,,1 September 2015,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Jinny57,Awful Mess,As for the service.... The waiter threw the menus on the table for us. Nice. Then we requested to be seated outside near a heater because inside was freezing. They seated us at a table with no cutlery etc and despite being near a heater it was still freezing. Then when we were finally able to order  we requested the...   More,215,88,163,,18 July 2015,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Chris B,Not Quite A Blaze,It was really sad on the day. We were expecting because it was Mother's Day that the restaurant would be packed but to our disappointment we were the only 4 guests. There were a lot of staff with so little to do. The food was tasty for the most part especially the tapas. While not the most memorable experience it...   More,7,5,7,,12 May 2015,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Nick B,Awful service and average at best food,We should of read the reviews. But i did provide feedback to them that the service was terrible and the food was bland...the guy at the cashier responded with "no worries".,1,0,0,Brisbane,9 May 2015,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,francesca082,Very mediocre,Rather disappointed with good as the premises promised much from its appearance. My daughter had lamb shank which looked horrid  possibly recooked.,87,44,31,Sydney  Australia,December 1  2014,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,LDab27,Cruisin' on a sunny afternoon...,Yay  happy hour is us! Our $4 vinos and generous tapas were presented with family-style affection and promptness.The upstairs  via a lift  bar-bistro view was superb. The sunset sky and storybook clock towers twinkled in a grand vista. A touch of X-files vibe for us  as at sunset  on a weeknight  the place looked like a humungous party had deserted...   More,12,4,8,Sydney  New South Wales,March 18  2015,4
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,SomeOrdinaryGuy,Quick service,We had a few tapas dishes at Ablaze before going to Cirque Du Soleil. Service was quick  the waiter was friendly and efficient. I have had better food but it was ok. Little overpriced for the amount of food.,1,0,0,Sydney  New South Wales,January 14  2015,4
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Nalin W,The worst lunch ever,Dropped into this restaurant before cirque du soleil  it was the worst lunch I have ever had. The food was complete rubbish  and the staff stood around chatting & drinking coffee  while our drinks were getting warm at the bar. The place was filthy  so forget it  there are plenty of other places in the fox precinct,185,50,139,Parramatta  Greater Sydney,December 6  2014,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Ann H,Very mediocre,Rather disappointed with good as the premises promised much from its appearance. My daughter had lamb shank which looked horrid  possibly recooked.,3,2,0,'Sydney  Australia,December 1  2014,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,xxvx,Absolutely appalling,I wish I had read previous reviews. Food was bland  overcooked  and distroyed Chilli squid had evidence of any flavour  the salmon fillet was so over cooked it was hard and stiff. The restaurant is filthy both front of house and the bathrooms. ( I hate to think what the kitchen looks like but a council inspection should be on...   More,1,1,0,,November 29  2014,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,987GRace987,Don't waste your time  terrible.,Called them to make reservations was told they only accept walk-ins. Walked in & was told they only accept reservations. Very dissatisfied.,42,30,24,,November 21  2014,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Steven L,Lovely Tapas,We dined here before seeing Cirque Du Soleil. It was our second visit and won't be the last. We ordered the chilli calamari  garlic bread  arancini balls  patatas bravas  chicken skewers and white wine sangria. All meals were tasty and fresh. The desert was disappointing to me - these lacked flavour just tasted like sugar. I did have a piece...   More,1,2,0,Sydney  Australia,November 15  2014,4
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,jamesmcg187,avoid - shocking service and freezing cold dining experience,Title says it all - waitress spilled wine on our table when she poured - didn't even bother to come back with a towel to clean up. Sat us outside on a freezing night  heaters weren't working. Food was pretty bad and left me with an unsettled stomach until the morning.,1,3,0,Sydney  Australia,June 28  2014,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Gemma S,DO NOT F@CKING GO TO THIS PLACE..,WORST calimari I have ever eaten. Tasted like cardboard and was cold!!. Steak was okay but ordered red wine jus and it tasted like watered down beef stock and was cold.. Overall shocking place and service was horrible..!,8,6,3,,June 26  2014,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,pruec84,Skip this one,Tatty  in need of adult supervision. So so cuisine (stick to the eye steak) served by diffident servers in a worn out venue.,1,2,0,Evergreen  Colorado,March 22  2014,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Steven P,Bugs in food!!,Avoid this restaurant at all costs! They served us up a meal with a moth in it and because we had already eaten the chips from the meal they still made us pay for half the meal!! They weren't apologetic at all. The restaurant was practically empty and now I know why.,10,9,7,Sydney  New South Wales,March 25  2014,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Guido347,Skip this one,Tatty  in need of adult supervision. So so cuisine (stick to the eye steak) served by diffident servers in a worn out venue.,1,2,0,Sydney  New South Wales,March 22  2014,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,justin c,Great Function Ruined by the Food,My wife & I attended a function today at Ablaze. Price was $45 a head for one drink and a set of canapes. The drink  well is not hard  but the amount of and quality of food served has absolutely set a new level of ridiculously poor. Literally a couple of chicken skewers each (Dry)  a set of goat cheese...   More,4,5,3,Parramatta  Greater Sydney,January 31  2014,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Gahfor,wont be going back,service was ok food was terrible. we've been here before and it was great  but its really gone down hill since we were last here and last nights dinner (12/01/14) was bad enough to say that we wont be going back any time soon. We both had steak  both ordered medium rare and they were both VERY overdone  tough and...   More,1,3,0,Sydney  Australia,January 13  2014,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,kel969,Utterly Dreadful,My Wife and I dropped in to Ablaze today  and I'm sorry to say we had to walk out with both our meals unfinished. We ordered Garlic Prawns and Calamari for our entrees. The prawns (all four of them) came floating in a pot of melted garlic butter. They were succulent enough but at nearly $20 you would expect slightly...   More,10,11,4,Evergreen  Colorado,December 15  2013,1
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,richo21282,...lovely food nice setting...,had a lovely lunch on Monday! last minute decision using a scoopon deal & couldn't be happier!! menu provided a variety if options from tapas to meat platters! service was fine (meals poss took a little longer then expected but we weren't in a hurry) the wait was worth it though!! entrees very simple but very tasty & every piece...   More,182,70,91,Sydney  Australia,October 8  2013,4
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Annabelle40,Third visit to Ablaze probably last.,Visit Entertainment Quarter to see a movie or attend comedy store. Several restaurants to choose from if eating as well and on weekend chose Ablaze as first couple of choices were not available. Food was eatable without being particularly good. Average all round experience and probably will eat elsewhere when next at Entertainment Quarter.,55,50,30,Sydney  Australia,June 25  2013,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,TMBHL_on_the_go,Considerate of time restrictions,We chose to eat at Ablaze after reading through the reviews on this site for all restaurants at EQ  feeling that we would find this restaurant the most enjoyable. We were dining here prior to going to a performance within EQ so we didn't have a lot of time - which was unfortunate for us. Our waiter offered us a...   More,135,124,39,Sydney  Australia,May 30  2013,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,WellTravelledAussie2,Great place for dinner in Fox Studios,For logistical reasons (fitting in with rest of my family who were going to the footy) I wanted to have dinner with some girlfriends at Fox Studios. I read MANY reviews and despaired of finding anywhere half decent. I ended up booking Ablaze  thinking their reviews weren't quite as bad as many of the others. Turns out you can't believe...   More,284,391,148,Sydney  Australia,April 13  2013,5
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,AmyLeeSydney,Mixed platter was good,My husband and I ate there before a show last night. He ordered the mixed meat platter and loved it. I ordered the Barra with cous cous. To be honest my meal was dry and a bit of a disappointment. The garlic mushrooms on the tapas menu were sensational. Our server was friendly and... read more,33,9,9,Loftus  Australia,January 4  2013,3
